type,description,amount,date,priority
income,Student Salary,7500,2025-01-01,0
expense,Rent,-4000,2025-01-02,1
expense,Groceries,-800,2025-01-03,2
expense,Internet Bill,-400,2025-01-04,2
expense,Phone Plan,-300,2025-01-05,3
income,Freelance Project,2500,2025-01-06,1
expense,Transport (Bus Card),-200,2025-01-07,3
expense,Coffee,-80,2025-01-07,4
expense,Netflix,-150,2025-01-08,3
expense,Electricity Bill,-350,2025-01-09,2
income,Scholarship,5000,2025-01-10,1
expense,Groceries,-950,2025-01-11,2
expense,Party,-600,2025-01-12,4
expense,Streaming Subscription,-120,2025-01-13,3
expense,Books,-450,2025-01-14,2
expense,Restaurant,-300,2025-01-15,3
income,Side Job,1800,2025-01-16,2
expense,Laundry,-150,2025-01-17,3
expense,Snacks,-100,2025-01-17,4
expense,Gas,-250,2025-01-18,2
expense,Groceries,-720,2025-01-19,2
expense,Transport,-180,2025-01-19,3
expense,Cinema,-200,2025-01-20,4
expense,House Supplies,-320,2025-01-21,3
income,Parent Support,3000,2025-01-22,1
expense,Fast Food,-150,2025-01-23,4
expense,Medicine,-280,2025-01-24,2
expense,Library Fees,-100,2025-01-25,3
expense,Groceries,-850,2025-01-26,2
expense,Streaming Music,-120,2025-01-27,3
income,Part-time Teaching,2200,2025-01-28,1
expense,Coffee,-80,2025-01-29,4
expense,Rent,-4000,2025-01-30,1
expense,Transport,-190,2025-01-30,3
expense,Electricity Bill,-340,2025-01-31,2
income,App Testing,1000,2025-01-31,2
