type,description,amount,date,priority
income,Student Salary,7800,2025-07-01,0
expense,Rent,-4100,2025-07-01,1
expense,Groceries,-850,2025-07-01,2
expense,Internet Bill,-389,2025-07-02,2
expense,Phone Plan,-310,2025-07-02,3
expense,Coffee,-95,2025-07-03,4
income,Freelance Translation,2500,2025-07-03,2
expense,Spotify Subscription,-130,2025-07-03,3
expense,Transport (Bus),-180,2025-07-04,3
expense,Stationery,-190,2025-07-04,3
income,Scholarship Payment,5000,2025-07-05,1
expense,Lunch with Friends,-260,2025-07-05,4
expense,Electricity Bill,-370,2025-07-06,2
expense,Groceries,-880,2025-07-06,2
expense,Party Night,-600,2025-07-07,4
expense,Clothes,-720,2025-07-07,3
expense,Transport (Metro),-190,2025-07-08,3
expense,Snacks,-80,2025-07-08,4
expense,Streaming Service,-120,2025-07-09,3
expense,Restaurant,-330,2025-07-09,3
income,Side Tutoring,2200,2025-07-10,2
expense,Laundry,-150,2025-07-10,3
expense,Groceries,-820,2025-07-11,2
expense,Weekend Trip,-720,2025-07-11,4
expense,Fast Food,-180,2025-07-12,4
income,Parent Support,3100,2025-07-12,1
expense,House Cleaning,-280,2025-07-13,3
expense,Medicine,-230,2025-07-13,2
expense,Public Transport,-200,2025-07-14,3
expense,Movie Ticket,-220,2025-07-14,4
income,App Testing,950,2025-07-15,3
expense,Groceries,-750,2025-07-15,2
expense,Phone Accessories,-340,2025-07-16,3
expense,Internet Bill,-389,2025-07-16,2
expense,Electricity Bill,-350,2025-07-17,2
income,Freelance Design,2800,2025-07-17,1
expense,Snacks,-100,2025-07-18,4
expense,Coffee,-80,2025-07-18,4
expense,Netflix,-150,2025-07-19,3
expense,Groceries,-890,2025-07-19,2
expense,Party,-530,2025-07-19,4
expense,Transport,-210,2025-07-20,3
expense,Books,-420,2025-07-20,2
income,Part-time Assistant,2300,2025-07-21,1
expense,Restaurant,-340,2025-07-21,3
expense,Laundry,-130,2025-07-22,3
expense,Groceries,-860,2025-07-22,2
expense,Fast Food,-190,2025-07-23,4
expense,Electricity Bill,-360,2025-07-23,2
income,Freelance Coding,2600,2025-07-24,2
expense,Phone Plan,-310,2025-07-24,3
expense,Transport (Bus),-180,2025-07-24,3
expense,Groceries,-780,2025-07-25,2
income,Online Survey,650,2025-07-25,3
expense,Spotify Subscription,-120,2025-07-25,3
expense,Snacks,-95,2025-07-26,4
expense,Fast Food,-180,2025-07-26,4
expense,Clothes,-760,2025-07-26,3
expense,Streaming Subscription,-130,2025-07-27,3
expense,Groceries,-850,2025-07-27,2
income,Lab Assistant,2400,2025-07-27,1
expense,Books,-400,2025-07-27,2
expense,Coffee,-95,2025-07-28,4
expense,Party,-580,2025-07-28,4
expense,Internet Bill,-389,2025-07-28,2
expense,Electricity Bill,-350,2025-07-29,2
expense,Transport,-200,2025-07-29,3
expense,House Supplies,-290,2025-07-29,3
income,Parent Support,3000,2025-07-30,1
expense,Lunch,-260,2025-07-30,3
expense,Snacks,-90,2025-07-30,4
expense,Groceries,-770,2025-07-30,2
expense,Netflix,-150,2025-07-30,3
expense,Fast Food,-180,2025-07-30,4
income,Freelance Web Design,2600,2025-07-30,1
expense,Restaurant,-300,2025-07-30,3
expense,Transport,-210,2025-07-30,3
expense,Coffee,-85,2025-07-30,4
expense,Clothes,-830,2025-07-30,3
expense,Streaming Music,-120,2025-07-30,3
income,Scholarship Bonus,1200,2025-07-30,1
expense,Books,-420,2025-07-30,2
expense,Snacks,-95,2025-07-30,4
expense,Electricity Bill,-350,2025-07-30,2
expense,Phone Plan,-310,2025-07-30,3
expense,Groceries,-810,2025-07-30,2
income,Part-time Job,1500,2025-07-08,2
income,Part-time Job,1500,2025-07-14,2
expense,Concert Ticket,-620,2025-07-13,4
expense,Photocopying,-85,2025-07-05,3
income,Market Sale,700,2025-07-10,3
expense,Library Fine,-60,2025-07-12,3
expense,Car Gas,-540,2025-07-18,2
income,Gift,350,2025-07-20,4
expense,Exam Fee,-220,2025-07-02,2
expense,Study Materials,-400,2025-07-11,2
income,One-off Gig,1900,2025-07-07,2
expense,Campus Event,-150,2025-07-16,4
expense,Snack Stand,-50,2025-07-19,4
income,Referral Bonus,450,2025-07-21,3
expense,Stationery,-80,2025-07-04,3
expense,Bus Ticket,-35,2025-07-06,4
expense,Donation,-120,2025-07-17,4
expense,Parking,-90,2025-07-14,3
expense,Printer Ink,-110,2025-07-09,3
income,App Reward,250,2025-07-26,4
expense,Snack Stand,-55,2025-07-02,4
