type,description,amount,date,priority
income,Student Salary,7900,2025-08-01,0
expense,Rent,-4200,2025-08-01,1
expense,Groceries,-870,2025-08-01,2
expense,Internet Bill,-389,2025-08-02,2
expense,Phone Plan,-320,2025-08-02,3
expense,Coffee,-90,2025-08-03,4
income,Freelance Translation,2700,2025-08-03,2
expense,Spotify Subscription,-120,2025-08-03,3
expense,Transport (Bus),-180,2025-08-04,3
expense,Stationery,-160,2025-08-04,3
income,Scholarship Payment,4900,2025-08-05,1
expense,Lunch with Friends,-250,2025-08-05,4
expense,Electricity Bill,-360,2025-08-06,2
expense,Groceries,-910,2025-08-06,2
expense,Party,-620,2025-08-07,4
expense,Clothes,-750,2025-08-07,3
expense,Transport (Metro),-190,2025-08-08,3
expense,Snacks,-100,2025-08-08,4
expense,Streaming Service,-130,2025-08-09,3
expense,Restaurant,-320,2025-08-09,3
income,Side Tutoring,2300,2025-08-10,2
expense,Laundry,-140,2025-08-10,3
expense,Groceries,-880,2025-08-11,2
expense,Weekend Trip,-700,2025-08-11,4
expense,Fast Food,-170,2025-08-12,4
income,Parent Support,3000,2025-08-12,1
expense,House Cleaning Supplies,-280,2025-08-13,3
expense,Medicine,-260,2025-08-13,2
expense,Public Transport,-190,2025-08-14,3
expense,Movie Ticket,-210,2025-08-14,4
income,Campus Research Job,950,2025-08-15,3
expense,Groceries,-760,2025-08-15,2
expense,Phone Accessories,-350,2025-08-16,3
expense,Internet Bill,-389,2025-08-16,2
expense,Electricity Bill,-340,2025-08-17,2
income,Freelance Design,2900,2025-08-17,1
expense,Snacks,-85,2025-08-18,4
expense,Coffee,-95,2025-08-18,4
expense,Netflix,-150,2025-08-19,3
expense,Groceries,-840,2025-08-19,2
expense,Party,-540,2025-08-19,4
expense,Transport,-200,2025-08-20,3
expense,Books,-430,2025-08-20,2
income,Part-time Assistant,2400,2025-08-21,1
expense,Restaurant,-310,2025-08-21,3
expense,Laundry,-120,2025-08-22,3
expense,Groceries,-900,2025-08-22,2
expense,Fast Food,-190,2025-08-23,4
expense,Electricity Bill,-350,2025-08-23,2
income,Freelance Coding,2700,2025-08-24,2
expense,Phone Plan,-320,2025-08-24,3
expense,Transport (Bus),-180,2025-08-24,3
expense,Groceries,-750,2025-08-25,2
income,Online Survey,600,2025-08-25,3
expense,Spotify Subscription,-120,2025-08-25,3
expense,Snacks,-100,2025-08-26,4
expense,Fast Food,-180,2025-08-26,4
expense,Clothes,-780,2025-08-26,3
expense,Streaming Subscription,-130,2025-08-27,3
expense,Groceries,-870,2025-08-27,2
income,Lab Assistant,2500,2025-08-27,1
expense,Books,-400,2025-08-27,2
expense,Coffee,-90,2025-08-28,4
expense,Party,-560,2025-08-28,4
expense,Internet Bill,-389,2025-08-28,2
expense,Electricity Bill,-360,2025-08-29,2
expense,Transport,-210,2025-08-29,3
expense,House Supplies,-300,2025-08-29,3
income,Parent Support,3100,2025-08-30,1
expense,Lunch,-270,2025-08-30,3
expense,Snacks,-90,2025-08-30,4
expense,Groceries,-790,2025-08-30,2
expense,Netflix,-150,2025-08-30,3
expense,Fast Food,-180,2025-08-30,4
income,Freelance Web Design,2600,2025-08-30,1
expense,Restaurant,-310,2025-08-30,3
expense,Transport,-200,2025-08-30,3
expense,Coffee,-85,2025-08-30,4
expense,Clothes,-810,2025-08-30,3
expense,Streaming Music,-120,2025-08-30,3
income,Scholarship Bonus,1300,2025-08-30,1
expense,Books,-420,2025-08-30,2
expense,Snack Bar,-95,2025-08-30,4
expense,Electricity Bill,-340,2025-08-30,2
expense,Phone Plan,-320,2025-08-30,3
expense,Groceries,-820,2025-08-30,2
income,Part-time Job,1500,2025-08-08,2
income,Part-time Job,1500,2025-08-14,2
expense,Concert Ticket,-600,2025-08-13,4
expense,Photocopying,-90,2025-08-05,3
income,Market Sale,700,2025-08-10,3
expense,Library Fine,-70,2025-08-12,3
expense,Car Gas,-550,2025-08-18,2
income,Gift,300,2025-08-20,4
expense,Exam Fee,-200,2025-08-02,2
expense,Study Materials,-410,2025-08-11,2
income,One-off Gig,1800,2025-08-07,2
expense,Campus Event,-150,2025-08-16,4
expense,Snack Stand,-55,2025-08-19,4
income,Referral Bonus,400,2025-08-21,3
expense,Stationery,-70,2025-08-04,3
expense,Bus Ticket,-30,2025-08-06,4
expense,Donation,-100,2025-08-17,4
expense,Parking,-80,2025-08-14,3
expense,Printer Ink,-120,2025-08-09,3
income,App Reward,200,2025-08-26,4
expense,Snack Stand,-45,2025-08-02,4
