date,delta,balance,source
2025-11-07,8884.58834054834,13884.58834054834,ml_model
2025-11-08,-8294.5,5590.08834054834,ml_model
2025-11-09,-575.660482586792,5014.427857961548,ml_model
2025-11-10,-580.7059981192256,4433.721859842322,ml_model
2025-11-11,-556.0843759380689,3877.6374839042537,ml_model
2025-11-12,-554.1225195751335,3323.51496432912,ml_model
2025-11-13,-439.31891558946916,2884.196048739651,ml_model
2025-11-14,1568.1609141237775,4452.356962863429,ml_model
2025-11-15,-631.7966021478522,3820.5603607155763,ml_model
2025-11-16,-3.232039257155553,3817.3283214584208,ml_model
2025-11-17,7682.252893995127,11499.581215453549,ml_model
2025-11-18,-8159.75,3339.831215453549,ml_model
2025-11-19,-577.5689653560204,2762.2622500975285,ml_model
2025-11-20,-532.0403405837875,2230.221909513741,ml_model
